0	-2.240648	0.04	0.76
0	-0.294888	0.9	1.57
0	-0.227652	-0.12	-1.02
0	0.035384	-0.22	-0.29
1	3.500629	-0.22	-6.58
0	0.839575	3.27	3.94
0	0.971072	1.77	-0.01
0	1.401579	1.77	0.85
0	-0.105228	-2	-0.49
0	0.820817	-1.17	-0.31
0	0.497956	2.89	-7.11
0	1.48095	0.12	-0.75
0	-0.435458	-0.03	-0.03
0	0.706297	0	-0.41
0	3.297294	0	-2.63
0	0.360323	0.13	0.6
0	-0.081358	0.1	-2.53
0	0.147859	0.1	-1.21
1	3.922291	-0.27	-7.38
0	0.134313	-0.97	-0.15
0	-2.755514	-0.66	1.58
0	2.871058	-1.42	-0.3
0	-0.247079	0.25	0.14
0	-2.757725	2.07	-2.48
0	-1.359821	2.07	-0.72
0	-2.349863	2.07	5.67
0	3.060942	2.07	-9.38
0	-1.378822	2.63	0.64
0	0.561174	2.63	-0.34
0	2.178767	-0.15	-0.15
0	-1.992776	1.06	4.18
1	3.357127	0.57	-6.11
0	1.539303	-3.07	-0.11
0	1.10289	0.01	-0.9
0	-0.867304	0.91	0.58
1	2.70146	0	-2.97
1	5.547239	0	-4.51
1	3.820171	0	-3.08
0	2.894258	0.35	-3.82
0	3.285366	1.15	-1.91
0	-0.616607	3.52	-0.41
0	0.328617	1.35	3.71
0	1.197327	1.15	-1.29
0	0.439311	1.15	-0.58
1	3.39033	0.08	-0.77
1	-0.224473	0.08	0.42
1	2.526683	0.08	-0.75
1	3.759271	0.08	-6.33
1	3.502418	0.08	-2.55
1	2.667814	0.08	-6.23
0	3.056074	0.77	-0.87
0	2.109353	0.04	-0.2
1	5.016818	-1.45	-6.22
0	0.597877	0.99	-0.46
0	-0.293985	0.99	-0.77
0	-0.467033	0.99	-0.23
1	2.210929	-0.38	-1.68
1	4.097571	-0.38	-0.67
1	4.097571	-0.38	-0.26
1	2.018671	-0.38	-0.67
1	3.091551	-0.38	-0.43
1	3.091551	-0.38	-0.95
1	1.2407	-0.38	-0.73
1	1.444075	-0.38	-0.7
1	3.128532	-0.38	-2.8
1	0.976272	-0.38	-1.76
1	0.414274	-0.38	-1.17
1	2.08432	-0.38	-0.01
1	0.878598	-0.38	-0.05
1	1.169255	-0.38	0.26
1	2.199272	-0.38	-1.52
1	1.017438	-0.38	-0.75
1	1.017438	-0.38	-0.4
1	0.177191	-0.38	-0.25
1	2.129888	-0.38	-1.23
1	1.395694	-0.38	-1.19
1	2.155202	-0.38	-1.19
0	0.593678	0.94	-2.31
0	2.439952	0.94	-2.85
1	4.551799	0.94	-6.78
1	4.087813	-0.12	-4.47
1	4.436979	-0.12	-6.18
1	3.166081	-0.12	-5.26
1	4.571596	-0.12	-3.82
1	4.80108	-0.12	-4.77
1	2.085823	-0.12	-3.36
1	4.686324	-0.12	-7.38
1	4.818356	-0.12	-4.5
1	4.500182	-0.12	-3.78
0	-1.022663	-0.25	-1.09
0	-1.012886	-0.25	-0.37
0	2.658334	-0.25	-2.67
0	4.326899	0	-2.17
0	1.732499	0.22	0.28
1	3.107667	0.09	-1.73
1	4.179506	0.09	-7.91
1	4.554988	0.09	-6.08
1	5.790918	0.09	-3.93
0	-0.041992	0.86	-0.27
1	3.818388	-0.77	-3.27
1	5.448053	-0.77	-3.59
1	4.19448	-0.77	-6.14
1	4.689799	-0.77	-4.4
1	4.868322	-0.77	-7.24
1	4.924296	-0.77	-3.79
1	5.006471	-0.77	-4.74
1	3.963137	-0.77	-4.61
